,ubicgeob,cod_expe,cod_deli,delito,calificacion del delito,grado consumacion,forma de comision,forma de accion,tipo modalidad,elementos comision,tipo concurso,tipo clasificacion,entidad ,municipio,fecha,total procesados,total victima
0,1001,7706,3,40400,2,1,1,3,6,0,0,4,1,1001,2005-03-05,1,1
2,1001,7708,5,40600,2,1,2,3,6,0,1,4,1,1001,2015-10-06,1,1
3,1001,7709,6,30700,1,1,1,3,4,0,2,4,1,1001,2016-03-15,1,2
4,1001,7709,7,60101,1,1,1,3,4,0,2,4,1,1001,2016-03-15,1,2
7,1001,7712,10,40600,2,1,2,3,6,0,0,4,1,1001,2015-08-30,1,1
8,1001,7712,11,10400,2,1,2,3,6,0,0,4,1,1001,2015-08-30,1,1
12,1001,7715,15,40400,1,1,1,1,3,2,1,4,1,1001,2017-02-10,1,1
14,1001,7717,17,40300,1,1,1,3,6,0,0,4,1,1001,2014-01-28,1,1
15,1001,7718,18,40300,1,1,1,1,6,0,1,4,1,1001,2007-12-14,1,1
16,1001,7719,19,40100,1,1,1,3,3,7,1,4,1,1001,2016-01-17,5,3
22,1001,7724,25,40700,1,1,1,3,6,0,2,4,1,1001,2017-03-09,1,1
23,1001,7725,26,40400,1,1,1,3,3,0,1,4,1,1001,2014-07-15,2,1
24,1001,7725,27,40100,1,2,1,1,3,0,1,4,1,1001,2014-07-15,1,1
25,1001,7726,28,40600,2,1,2,3,1,0,1,4,1,1001,2014-02-06,1,2
26,1001,7727,29,40400,2,1,1,3,6,0,0,4,1,1001,2012-04-03,1,1
27,1001,7728,30,50100,2,1,1,1,1,0,0,4,1,1001,2015-06-23,1,1
28,1001,7729,31,10400,2,1,2,3,1,0,0,4,1,1001,2015-01-10,1,3
29,1001,7730,32,50100,2,1,1,1,6,7,0,4,1,1001,2015-05-30,1,1
30,1001,7731,33,40100,2,1,1,3,4,7,0,4,1,1001,2018-04-02,1,1
33,1001,7734,36,30700,1,1,1,3,6,0,0,4,1,1001,2015-07-09,1,2
34,1001,7735,37,40100,1,1,1,2,4,0,1,4,1,1001,2015-11-24,1,1
37,1001,7738,40,40100,1,1,1,1,4,7,1,4,1,1001,2016-03-30,2,1
40,1001,7741,43,40117,1,1,3,3,1,0,1,4,1,1001,2015-08-30,1,1
44,1001,7745,47,40100,2,1,1,3,4,0,0,4,1,1001,2016-06-01,1,1
50,1001,7750,53,10400,2,2,1,3,6,0,1,4,1,1001,2016-02-10,1,1
53,1001,7753,56,70100,2,1,1,3,1,0,0,4,1,1001,2016-02-24,1,1
55,1001,7755,58,70100,2,1,1,3,6,0,0,4,1,1001,2016-05-24,1,1
60,1001,7759,63,40300,2,1,1,3,6,0,0,4,1,1001,2015-02-13,1,1
62,1001,7761,65,10400,2,1,1,1,4,0,1,4,1,1001,2013-01-20,1,1
63,1001,7762,66,50100,2,1,1,1,1,7,0,4,1,1001,2015-09-04,1,1
64,1001,7763,67,70100,2,1,1,2,2,0,0,4,1,1001,2015-09-22,1,1
65,1001,7764,68,70100,1,1,1,2,1,0,0,4,1,1001,2015-10-02,2,1
66,1001,7765,69,50100,1,2,1,3,3,0,1,4,1,1001,2012-09-19,1,1
67,1001,7766,70,90200,2,1,1,1,6,0,1,4,1,1001,2016-03-03,1,1
68,1001,7767,71,40100,2,1,1,3,1,7,0,4,1,1001,2016-03-06,1,1
